CSD Code 2021,CSD Name 2021,Census Population 2021,Income 2021,Education 2021,Housing 2021,Labour Force Activity 2021,CWB 2021,Community Type 2021
1004006,"Division No.  4, Subd. B",1140,70,45,94,66,69,Non-Indigenous Community
1004011,"Division No.  4, Subd. C",591,68,42,95,60,66,Non-Indigenous Community
1004013,St. George's,1139,71,59,94,68,73,Non-Indigenous Community
1004016,"Division No.  4, Subd. D",1212,72,53,92,70,72,Non-Indigenous Community
1004017,Gallants,50,,,,,,Non-Indigenous Community
1004018,Stephenville Crossing,1634,71,50,98,62,70,Non-Indigenous Community
1004019,Stephenville,6540,73,58,96,75,75,Non-Indigenous Community
1004020,Kippens,1842,81,66,97,80,81,Non-Indigenous Community
1004021,Port au Port East,413,72,60,96,69,74,Non-Indigenous Community
1004022,"Division No.  4, Subd. E",1467,64,40,92,65,65,Non-Indigenous Community
1004033,Cape St. George,809,66,36,92,67,65,Non-Indigenous Community
1004037,Lourdes,502,67,47,96,66,69,Non-Indigenous Community
1004042,Port au Port West-Aguathuna-Felix Cove,384,76,52,95,68,73,Non-Indigenous Community
1005001,"Division No.  5, Subd. A",291,76,51,94,68,73,Non-Indigenous Community
1005003,"Division No.  5, Subd. G",414,69,40,96,65,67,Non-Indigenous Community
1005004,Deer Lake,4864,75,58,97,77,77,Non-Indigenous Community
1005005,Jackson's Arm,277,73,41,93,68,69,Non-Indigenous Community
1005006,Howley,179,,,,,69,Non-Indigenous Community
1005007,"Division No.  5, Subd. E",188,,,,,68,Non-Indigenous Community
1005008,Hampden,439,70,34,97,73,69,Non-Indigenous Community
1005009,Reidville,550,70,54,97,83,76,Non-Indigenous Community
1005010,"Division No.  5, Subd. F",746,86,71,96,77,83,Non-Indigenous Community
1005011,Steady Brook,416,93,74,100,85,88,Non-Indigenous Community
1005012,Pasadena,3524,79,67,98,82,81,Non-Indigenous Community
1005014,Cormack,492,71,52,94,75,73,Non-Indigenous Community
1005015,Gillams,506,78,54,96,83,78,Non-Indigenous Community
1005016,"Division No.  5, Subd. C",285,,,,,87,Non-Indigenous Community
1005017,Massey Drive,1606,83,72,98,90,86,Non-Indigenous Community
1005018,Corner Brook,19333,77,64,97,81,80,Non-Indigenous Community
1005019,"Division No.  5, Subd. D",30,,,,,,Non-Indigenous Community
1005020,Humber Arm South,1537,74,52,96,80,76,Non-Indigenous Community
1005022,McIvers,575,71,49,95,80,74,Non-Indigenous Community
1005023,Cox's Cove,664,69,36,96,69,68,Non-Indigenous Community
1005024,Lark Harbour,508,73,46,94,77,73,Non-Indigenous Community
1005025,Meadows,404,74,54,92,78,75,Non-Indigenous Community
1005028,Hughes Brook,236,,,,,78,Non-Indigenous Community
1005030,Irishtown-Summerside,1260,74,58,96,81,77,Non-Indigenous Community
1005033,Mount Moriah,700,78,57,98,78,78,Non-Indigenous Community
1005035,York Harbour,372,71,50,99,77,74,Non-Indigenous Community
1006001,"Division No.  6, Subd. D",596,76,51,96,74,74,Non-Indigenous Community
1006003,Norris Arm,708,69,45,96,63,69,Non-Indigenous Community
1006008,"Division No.  6, Subd. E",175,,,,,66,Non-Indigenous Community
1006009,Gander,11880,81,65,97,82,81,Non-Indigenous Community
1006011,Appleton,620,76,54,97,78,77,Non-Indigenous Community
1006012,Glenwood,739,73,51,94,72,72,Non-Indigenous Community
1006014,"Division No.  6, Subd. C",354,79,57,100,54,73,Non-Indigenous Community
1006015,Northern Arm,371,77,62,96,80,79,Non-Indigenous Community
1006017,Grand Falls-Windsor,13853,77,60,97,79,78,Non-Indigenous Community
1006019,Bishop's Falls,3082,75,52,97,75,75,Non-Indigenous Community
1006021,Peterview,723,62,32,92,66,63,Non-Indigenous Community
1006022,Botwood,2778,71,51,96,71,72,Non-Indigenous Community
1006026,Badger,682,78,50,99,80,77,Non-Indigenous Community
1006028,Millertown,87,,,,,77,Non-Indigenous Community
1006029,"Division No.  6, Subd. A",101,,,,,,Non-Indigenous Community
1006031,Buchans,590,73,58,98,73,76,Non-Indigenous Community
1007001,"Division No.  7, Subd. M",1856,73,49,97,74,73,Non-Indigenous Community
1007006,"Division No.  7, Subd. L",1183,72,51,95,77,74,Non-Indigenous Community
1007009,"Division No.  7, Subd. K",1153,71,46,98,80,74,Non-Indigenous Community
1007013,Clarenville,6704,79,63,98,84,81,Non-Indigenous Community
1007014,"Division No.  7, Subd. J",577,70,48,93,71,70,Non-Indigenous Community
1007015,Trinity (Trinity Bay),76,,,,,80,Non-Indigenous Community
1007016,Port Rexton,361,78,64,94,85,80,Non-Indigenous Community
1007018,"Division No.  7, Subd. I",80,,,,,64,Non-Indigenous Community
1007020,Elliston,315,69,60,95,70,74,Non-Indigenous Community
1007022,Trinity Bay North,1649,70,48,97,74,72,Non-Indigenous Community
1007023,Bonavista,3190,72,47,96,78,73,Non-Indigenous Community
1007024,"Division No.  7, Subd. G",316,73,44,93,70,70,Non-Indigenous Community
1007025,Keels,46,,,,,,Non-Indigenous Community
1007026,Duntara,36,,,,,,Non-Indigenous Community
1007027,King's Cove,75,,,,,75,Non-Indigenous Community
1007028,"Division No.  7, Subd. F",831,71,46,99,66,70,Non-Indigenous Community
1007031,"Division No.  7, Subd. E",2573,72,51,96,73,73,Non-Indigenous Community
1007032,Musgravetown,561,70,58,100,67,74,Non-Indigenous Community
1007036,Port Blandford,513,79,50,99,72,75,Non-Indigenous Community
1007037,Traytown,279,75,59,99,70,76,Non-Indigenous Community
1007038,"Division No.  7, Subd. D",259,,,,,74,Non-Indigenous Community
1007039,Sandy Cove,120,,,,,77,Non-Indigenous Community
1007040,Terra Nova,99,,,,,78,Non-Indigenous Community
1007041,Happy Adventure,118,,,,,,Non-Indigenous Community
1007042,Eastport,527,72,56,95,57,70,Non-Indigenous Community
1007043,Sandringham,205,,,,,76,Non-Indigenous Community
1007044,Glovertown,1948,79,59,96,73,76,Non-Indigenous Community
1007045,"Division No.  7, Subd. N",55,,,,,,Non-Indigenous Community
1007046,Salvage,108,,,,,66,Non-Indigenous Community
1007047,Gambo,1816,71,57,95,72,74,Non-Indigenous Community
1007048,St. Brendan's,125,,,,,68,Non-Indigenous Community
1007049,Hare Bay,925,66,42,94,65,67,Non-Indigenous Community
1007050,Centreville-Wareham-Trinity,1116,69,42,95,62,67,Non-Indigenous Community
1007051,"Division No. 7, Subd. B",57,,,,,,Non-Indigenous Community
1007054,Greenspond,257,74,47,92,77,73,Non-Indigenous Community
1007056,"Division No.  7, Subd. A",140,,,,,71,Non-Indigenous Community
1007057,Dover,579,65,39,99,63,66,Non-Indigenous Community
1007060,New-Wes-Valley,2044,77,54,98,84,78,Non-Indigenous Community
1007067,Indian Bay,172,,,,,65,Non-Indigenous Community
1008001,"Division No.  8, Subd. M",141,,,,,71,Non-Indigenous Community
1008004,Lumsden,535,74,54,97,76,75,Non-Indigenous Community
1008006,Musgrave Harbour,946,70,44,95,66,69,Non-Indigenous Community
1008008,"Division No.  8, Subd. L",2772,67,43,94,67,68,Non-Indigenous Community
1008011,Carmanville,784,66,41,98,63,67,Non-Indigenous Community
1008024,Change Islands,184,,,,,72,Non-Indigenous Community
1008026,"Division No.  8, Subd. I",163,,,,,75,Non-Indigenous Community
1008029,Crow Head,156,,,,,71,Non-Indigenous Community
1008031,"Division No.  8, Subd. H",1788,68,38,94,63,66,Non-Indigenous Community
1008032,Cottlesville,244,,,,,67,Non-Indigenous Community
1008033,Summerford,805,73,38,97,68,69,Non-Indigenous Community
1008035,Twillingate,2121,72,50,98,70,73,Non-Indigenous Community
1008036,"Division No.  8, Subd. G",409,68,43,98,59,67,Non-Indigenous Community
1008037,Campbellton,459,71,52,88,73,71,Non-Indigenous Community
1008038,Birchy Bay,511,71,39,96,75,70,Non-Indigenous Community
1008039,Comfort Cove-Newstead,345,73,46,95,77,73,Non-Indigenous Community
1008040,Baytona,251,72,49,98,72,73,Non-Indigenous Community
1008042,"Division No.  8, Subd. F",867,69,45,96,70,70,Non-Indigenous Community
1008043,Embree,679,68,48,93,79,72,Non-Indigenous Community
1008044,Lewisporte,3288,74,56,97,77,76,Non-Indigenous Community
1008045,Little Burnt Bay,238,,,,,68,Non-Indigenous Community
1008046,"Division No.  8, Subd. E",496,69,36,98,55,64,Non-Indigenous Community
1008047,Point of Bay,137,,,,,76,Non-Indigenous Community
1008048,Leading Tickles,296,74,41,97,78,73,Non-Indigenous Community
1008049,Point Leamington,574,73,49,92,69,71,Non-Indigenous Community
1008052,"Division No.  8, Subd. D",5,,,,,,Non-Indigenous Community
1008053,Pilley's Island,286,69,38,94,63,66,Non-Indigenous Community
1008054,Triton,896,79,45,99,78,75,Non-Indigenous Community
1008055,Brighton,163,,,,,74,Non-Indigenous Community
1008056,Lushes Bight-Beaumont-Beaumont North,169,,,,,67,Non-Indigenous Community
1008058,"Division No.  8, Subd. C",563,74,47,96,72,72,Non-Indigenous Community
1008059,South Brook,420,67,45,93,65,67,Non-Indigenous Community
1008060,Robert's Arm,722,73,51,97,70,73,Non-Indigenous Community
1008061,Springdale,2965,73,49,96,77,74,Non-Indigenous Community
1008062,Port Anson,42,,,,,,Non-Indigenous Community
1008063,Little Bay,100,,,,,71,Non-Indigenous Community
1008064,Little Bay Islands,0,,,,,,Non-Indigenous Community
1008065,"Division No.  8, Subd. P",297,72,40,90,72,69,Non-Indigenous Community
1008066,Beachside,97,,,,,76,Non-Indigenous Community
1008067,"Division No.  8, Subd. O",275,,,,,71,Non-Indigenous Community
1008069,King's Point,653,77,44,97,75,73,Non-Indigenous Community
1008070,Nippers Harbour,74,,,,,,Non-Indigenous Community
1008071,Burlington,304,67,52,96,73,72,Non-Indigenous Community
1008072,Middle Arm,443,73,46,92,69,70,Non-Indigenous Community
1008073,Tilt Cove,5,,,,,,Non-Indigenous Community
1008074,"Division No.  8, Subd. A",386,69,35,98,60,65,Non-Indigenous Community
1008075,Fleur de Lys,207,,,,,68,Non-Indigenous Community
1008076,LaScie,820,77,46,96,82,75,Non-Indigenous Community
1008077,Brent's Cove,119,,,,,64,Non-Indigenous Community
1008078,Pacquet,145,,,,,64,Non-Indigenous Community
1008079,Baie Verte,1311,77,57,97,75,77,Non-Indigenous Community
1008091,Seal Cove (White Bay),281,71,37,96,69,68,Non-Indigenous Community
1008092,Coachman's Cove,111,,,,,75,Non-Indigenous Community
1008093,Westport,185,,,,,70,Non-Indigenous Community
1008095,Ming's Bight,298,76,33,95,69,68,Non-Indigenous Community
1008096,Woodstock,195,,,,,60,Non-Indigenous Community
1008098,Miles Cove,97,,,,,67,Non-Indigenous Community
1008099,Fogo Island,2117,75,50,97,77,75,Non-Indigenous Community
1009001,"Division No.  9, Subd. F",81,,,,,,Non-Indigenous Community
1009004,Englee,489,67,28,96,58,62,Non-Indigenous Community
1009007,Roddickton-Bide Arm,928,70,45,96,73,71,Non-Indigenous Community
1009008,Conche,149,,,,,73,Non-Indigenous Community
1009009,"Division No.  9, Subd. A",183,,,,,78,Non-Indigenous Community
1009010,Trout River,508,64,39,92,70,66,Non-Indigenous Community
1009011,"Woody Point, Bonne Bay",244,,,,,72,Non-Indigenous Community
1009012,Norris Point,602,79,51,93,74,74,Non-Indigenous Community
1009013,Rocky Harbour,937,75,56,97,72,75,Non-Indigenous Community
1009015,Daniel's Harbour,220,,,,,76,Non-Indigenous Community
1009016,Cow Head,398,77,57,95,80,77,Non-Indigenous Community
1009017,Parson's Pond,368,71,38,99,67,69,Non-Indigenous Community
1009018,Hawke's Bay,297,,,,,67,Non-Indigenous Community
1009019,Port Saunders,678,73,48,93,76,73,Non-Indigenous Community
